slug,game_name,iframe_url,image
gates-of-troy,Gates of Troy,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gatesoftroy&lang=en_GB&practice=1&channel=desktop&demo=2,gates-of-troy.webp
gemix,Gemix,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gemix&lang=en_GB&practice=1&channel=desktop&demo=2,gemix.webp
gemix-100,Gemix 100,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gemix100&lang=en_GB&practice=1&channel=desktop&demo=2,gemix-100-.webp
gemix-2,Gemix 2,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gemix2&lang=en_GB&practice=1&channel=desktop&demo=2,gemix-2.webp
gerard-s-gambit,Gerard's Gambit,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gerardsgambit&lang=en_GB&practice=1&channel=desktop&demo=2,gerard's-gambit.webp
ghost-of-dead,Ghost of Dead,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=ghostofdead&lang=en_GB&practice=1&channel=desktop&demo=2,ghost-of-dead.webp
gift-shop,Gift Shop,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=giftshop&lang=en_GB&practice=1&channel=desktop&demo=2,gift-shop.webp
gigantoonz,Gigantoonz,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gigantoonz&lang=en_GB&practice=1&channel=desktop&demo=2,gigantoonz.webp
gold-king,Gold King,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldking&lang=en_GB&practice=1&channel=desktop&demo=2,gold-king.webp
gold-of-fortune-god,Gold of Fortune God,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldoffortunegod&lang=en_GB&practice=1&channel=desktop&demo=2,gold-of-fortune-god.webp
gold-trophy-2,Gold Trophy 2,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldtrophy2&lang=en_GB&practice=1&channel=desktop&demo=2,gold-trophy-2.webp
gold-volcano,Gold Volcano,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldvolcano&lang=en_GB&practice=1&channel=desktop&demo=2,gold-volcano.webp
golden-caravan,Golden Caravan,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldencaravan&lang=en_GB&practice=1&channel=desktop&demo=2,golden-caravan.webp
golden-colts,Golden Colts,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldencolts&lang=en_GB&practice=1&channel=desktop&demo=2,golden-colts.webp
golden-goal,Golden Goal,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldengoal&lang=en_GB&practice=1&channel=desktop&demo=2,golden-goal.webp
golden-legend,Golden Legend,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=goldenlegend&lang=en_GB&practice=1&channel=desktop&demo=2,golden-legend.webp
